aX,aY,aZ,gX,gY,gZ
0.534,-0.164,0.754,-2.991,4.639,2.319
0.531,-0.157,0.750,-3.967,3.479,4.150
0.544,-0.147,0.755,-4.761,2.258,5.737
0.571,-0.139,0.788,-5.676,1.831,6.836
0.595,-0.121,0.793,-4.822,2.441,7.507
0.608,-0.120,0.801,-3.052,2.808,7.263
0.618,-0.125,0.830,-2.136,2.441,7.263
0.626,-0.102,0.826,-2.563,3.845,8.118
0.630,-0.086,0.814,-2.808,5.676,8.545
0.636,-0.049,0.844,-2.991,5.920,8.728
0.631,-0.008,0.832,-2.991,8.057,8.057
0.622,0.033,0.764,-2.380,11.047,4.395
0.603,-0.040,0.744,-0.977,9.216,-1.648
0.607,-0.039,0.718,0.305,7.812,-2.319
0.601,0.002,0.688,1.343,6.714,-1.953
0.596,-0.022,0.707,1.099,4.272,-4.089
0.568,-0.068,0.735,0.671,2.991,-7.080
0.562,-0.140,0.726,0.000,4.578,-8.362
0.530,-0.151,0.689,1.953,6.104,-6.042
0.508,-0.166,0.702,2.075,5.188,-3.906
0.520,-0.160,0.706,-0.854,5.615,-2.136
0.519,-0.107,0.687,-1.343,6.775,1.038
0.530,-0.092,0.684,-1.953,6.531,2.502
0.554,-0.078,0.691,-2.808,5.127,3.235
0.567,-0.048,0.701,-1.587,2.380,3.540
0.568,-0.050,0.716,0.305,0.244,2.258
0.567,-0.076,0.727,0.488,0.000,0.977
0.579,-0.090,0.748,-0.305,0.732,1.099
0.588,-0.083,0.765,-1.404,2.808,2.686
0.591,-0.051,0.746,-3.540,5.920,4.700
0.596,-0.051,0.732,-4.944,7.446,5.676
0.591,-0.041,0.744,-5.981,5.798,6.470
0.603,0.021,0.749,-6.775,4.089,7.080
0.610,-0.019,0.772,-7.080,1.953,3.296
0.616,-0.028,0.788,-4.822,0.854,1.343
0.623,-0.001,0.773,-1.770,1.587,2.136
0.617,-0.010,0.767,0.122,1.221,0.916
0.604,-0.036,0.776,1.770,-0.183,-0.732
0.600,-0.067,0.798,1.892,-0.488,-1.099
0.598,-0.069,0.815,0.610,0.793,0.305
0.604,-0.026,0.786,-0.305,3.296,2.319
0.598,-0.005,0.767,-1.404,5.188,2.197
0.599,-0.004,0.779,-3.845,6.104,0.977
0.603,0.003,0.786,-6.348,8.423,0.977
0.604,0.011,0.783,-7.874,10.742,0.793
0.599,0.011,0.785,-8.667,12.268,-0.061
0.601,0.005,0.774,-9.644,14.099,-0.549
0.419,-2.059,1.799,-13.123,-74.036,13.367
0.425,-2.151,1.958,-8.240,-77.026,29.968
0.406,-2.331,2.236,-8.118,-74.829,44.556
0.357,-2.506,2.504,-16.174,-55.115,61.035
0.238,-2.602,2.698,-27.161,-21.606,79.529
0.038,-2.800,2.650,-27.527,14.282,90.271
-0.307,-3.051,2.504,-12.512,37.781,100.098
-0.568,-3.297,2.495,6.165,46.082,120.300
-0.781,-3.502,2.436,27.771,52.124,145.752
-1.001,-3.355,2.323,48.157,59.265,181.396
-1.180,-2.884,2.244,58.105,64.453,225.647
-1.306,-2.320,2.067,62.805,75.439,264.587
-1.313,-1.574,1.873,59.326,94.055,298.462
-1.083,-0.306,1.889,56.030,110.657,324.280
-0.804,0.849,1.578,56.152,131.165,320.740
-0.740,1.174,0.814,51.147,161.255,285.522
-0.846,1.106,0.262,33.569,175.415,250.732
-0.935,1.037,-0.154,21.606,170.715,228.271
-0.891,1.020,-0.469,21.973,152.100,214.966
-0.759,1.057,-0.463,25.513,117.859,208.374
-0.672,1.063,-0.452,28.748,89.294,201.233
-0.676,1.091,-0.590,30.151,72.754,197.083
-0.631,1.187,-0.592,30.090,52.856,192.932
-0.335,1.685,-0.190,32.410,19.958,186.829
-0.051,2.042,0.219,42.480,-9.583,166.077
0.022,1.788,0.556,50.415,-17.029,127.502
-0.107,1.430,0.526,45.532,1.526,96.069
-0.193,1.052,0.336,26.672,33.142,78.369
-0.215,0.811,0.318,4.150,49.866,72.205
-0.154,0.605,0.434,-11.597,55.054,73.792
-0.076,0.551,0.418,-20.630,62.317,78.247
-0.027,0.506,0.278,-21.484,68.054,81.177
0.004,0.485,0.088,-15.747,63.660,82.642
0.070,0.432,0.051,-7.324,47.058,83.435
0.107,0.310,0.253,0.916,24.353,80.811
0.223,0.458,0.560,6.836,8.240,83.984
0.388,0.801,0.785,11.414,2.502,84.778
0.509,0.888,0.916,13.977,5.066,70.068
0.573,0.878,0.943,13.611,10.681,53.833
0.580,0.805,0.884,9.033,18.555,43.335
0.553,0.630,0.836,2.380,22.644,32.715
0.493,0.430,0.738,-1.282,26.123,23.437
0.443,0.255,0.629,-2.808,30.029,18.433
0.430,0.138,0.583,-3.418,29.663,17.822
0.415,0.063,0.425,-1.526,28.748,18.982
0.437,0.114,0.381,4.150,18.982,23.499
0.453,0.226,0.458,13.306,2.258,27.039
0.510,0.223,0.555,17.151,-7.629,23.193
0.560,0.251,0.650,19.104,-14.465,21.362
0.585,0.260,0.684,19.592,-17.029,19.470
0.611,0.219,0.740,15.991,-15.564,15.259
0.622,0.138,0.792,10.559,-11.169,10.864
0.633,0.070,0.858,2.869,-5.127,9.583
0.637,0.041,0.851,-2.869,2.991,11.169
0.613,0.030,0.763,-5.554,12.268,12.878
0.584,0.022,0.727,-5.859,14.832,14.282
0.612,0.088,0.666,-2.625,13.123,16.724
0.633,0.126,0.666,4.333,7.019,17.029
0.672,0.180,0.753,7.385,-0.671,15.381
