aX,aY,aZ,gX,gY,gZ
0.547,-0.527,-0.617,-0.916,-2.930,2.075
0.550,-0.550,-0.619,-0.671,-1.526,1.343
0.557,-0.585,-0.624,0.122,-0.305,1.404
0.567,-0.585,-0.632,2.136,0.366,2.869
0.571,-0.579,-0.644,2.747,0.977,4.456
-0.143,-2.687,-1.089,30.273,32.776,0.244
-0.209,-2.951,-1.134,31.555,32.471,25.024
-0.330,-3.025,-1.214,31.799,34.546,54.260
-0.463,-3.083,-1.359,23.132,31.372,78.125
-0.593,-3.469,-1.289,4.211,17.944,89.050
-0.598,-3.969,-1.088,-7.568,0.427,105.652
-0.692,-4.000,-1.036,-9.033,-4.395,134.705
-0.899,-4.000,-0.932,0.732,-1.343,190.430
-1.171,-4.000,-1.133,10.254,11.475,278.564
-1.538,-3.771,-0.894,16.602,7.690,368.225
-1.824,-2.654,-0.541,20.874,5.188,433.533
-1.938,-1.249,-0.797,0.427,25.330,474.426
-1.903,0.205,-0.886,-35.034,24.231,486.511
-1.765,1.399,-0.639,-65.674,0.549,467.590
-1.575,2.451,-0.589,-81.726,-6.897,432.373
-1.264,3.351,-0.611,-70.679,-3.052,391.235
-0.919,3.903,-0.854,-33.997,8.362,342.651
-0.598,3.981,-0.995,12.207,13.916,282.776
-0.400,3.519,-0.872,48.584,4.639,215.698
-0.227,2.757,-0.703,55.847,0.549,153.259
-0.088,2.081,-0.893,31.738,10.803,108.337
-0.015,1.315,-0.973,-8.301,14.893,72.021
0.063,0.984,-1.025,-57.312,13.916,55.603
0.130,0.816,-1.318,-92.529,21.057,46.753
0.257,0.846,-1.608,-116.943,21.484,38.879
0.333,0.666,-1.700,-111.755,8.362,28.381
0.333,0.344,-1.512,-85.693,-10.986,16.785
0.300,0.157,-1.105,-47.302,-28.809,18.372
0.263,-0.065,-0.733,-16.235,-35.217,20.386
0.271,-0.209,-0.507,-5.310,-30.945,22.705
0.234,-0.256,-0.346,-6.531,-25.391,25.696
0.223,-0.230,-0.326,-13.489,-15.320,28.503
0.242,-0.118,-0.427,-19.409,-3.113,29.907
0.286,-0.022,-0.599,-22.583,5.676,26.733
0.327,-0.142,-0.726,-27.466,8.850,15.686
0.352,-0.284,-0.753,-29.846,6.287,7.812
0.379,-0.296,-0.747,-24.170,4.578,9.888
0.381,-0.153,-0.719,-11.597,4.456,17.151
0.388,-0.027,-0.653,-0.854,4.517,19.470
0.400,-0.020,-0.652,4.089,6.714,13.611
0.420,-0.105,-0.699,1.770,10.132,4.822
0.421,-0.230,-0.740,-3.174,11.902,-2.014
0.419,-0.315,-0.763,-7.019,12.817,-5.005
0.432,-0.364,-0.823,-9.338,14.221,-5.554
0.448,-0.414,-0.891,-11.658,16.235,-5.615
0.491,-0.465,-0.951,-12.268,15.442,-4.517
0.516,-0.557,-0.951,-9.583,11.169,-3.052
