aX,aY,aZ,gX,gY,gZ
-0.531,-0.983,0.729,26.367,26.367,-59.570
-0.508,-1.163,0.857,0.549,20.813,-71.228
-0.476,-1.348,0.950,2.136,22.583,-74.707
-0.442,-1.511,0.878,24.658,31.860,-72.083
-0.427,-1.592,0.644,47.424,42.053,-62.317
-0.417,-1.538,0.589,62.012,42.908,-48.523
-0.384,-1.585,0.583,66.467,39.368,-37.354
-0.378,-1.585,0.510,71.228,39.917,-25.757
-0.372,-1.384,0.546,69.763,36.438,-10.132
-0.360,-1.193,0.467,58.105,34.912,-1.221
-0.356,-1.141,0.377,31.494,32.898,-0.916
-0.341,-1.102,0.435,3.235,24.902,-0.977
-0.320,-1.085,0.446,-11.963,20.142,-0.244
-0.304,-1.096,0.421,-15.076,18.860,1.099
-0.291,-1.027,0.402,-8.789,16.663,6.592
-0.292,-0.901,0.379,-1.587,14.404,12.451
-0.286,-0.804,0.344,3.174,11.230,16.113
-0.286,-0.752,0.332,2.380,6.653,16.541
-0.279,-0.732,0.384,-1.404,0.183,15.503
-0.283,-0.710,0.440,-6.531,-4.883,15.076
-0.281,-0.748,0.521,-13.306,-8.484,13.550
-0.287,-0.748,0.641,-17.334,-11.230,14.587
-0.303,-0.709,0.648,-17.029,-9.033,16.602
-0.314,-0.684,0.635,-12.390,-6.287,16.785
-0.318,-0.654,0.667,-6.348,-5.798,16.602
-0.314,-0.654,0.684,-2.075,-4.456,15.808
-0.313,-0.622,0.685,1.709,-2.808,15.137
-0.305,-0.617,0.670,3.052,-1.282,14.221
-0.302,-0.651,0.650,0.977,-0.061,11.719
-0.303,-0.631,0.646,-2.258,-0.549,11.597
-0.300,-0.658,0.622,-7.202,-0.732,10.071
-0.297,-0.692,0.641,-11.047,-1.831,8.545
-0.298,-0.713,0.632,-11.414,-2.197,8.545
-0.294,-0.720,0.651,-11.353,-2.197,9.094
-0.288,-0.724,0.682,-8.667,-2.319,9.644
-0.287,-0.703,0.639,-5.737,0.244,10.620
-0.286,-0.695,0.607,-4.761,1.343,10.620
-0.286,-0.685,0.592,-3.967,0.916,9.705
-0.285,-0.672,0.581,-2.380,0.244,8.606
-0.286,-0.694,0.559,-3.540,-0.549,7.141
-0.286,-0.718,0.529,-6.531,-1.831,6.775
-0.290,-0.730,0.563,-11.169,-4.395,7.935
-0.292,-0.767,0.580,-11.780,-6.165,7.935
-0.292,-0.780,0.595,-12.268,-7.080,9.094
-0.293,-0.811,0.653,-12.939,-8.545,10.620
-0.294,-0.836,0.690,-11.719,-7.935,12.146
-0.293,-0.829,0.713,-12.024,-6.042,14.282
-0.291,-0.833,0.708,-12.756,-3.601,15.991
-0.293,-0.824,0.686,-11.292,-1.648,17.761
-0.290,-0.814,0.638,-10.071,0.244,19.531
-0.289,-0.805,0.618,-9.155,0.122,21.118
-0.292,-0.818,0.628,-8.240,-1.221,22.278
-0.296,-0.810,0.635,-7.324,-2.258,23.865
-0.299,-0.828,0.623,-6.592,-2.686,24.902
-0.302,-0.850,0.645,-6.409,-3.540,25.940
-0.298,-0.873,0.674,-5.798,-4.150,27.222
-0.293,-0.918,0.674,-5.981,-3.662,28.320
-0.296,-0.908,0.701,-6.714,-3.296,31.494
-0.297,-0.893,0.740,-6.409,-2.808,34.302
-0.301,-0.876,0.748,-6.592,-0.122,36.316
-0.306,-0.860,0.715,-6.531,3.479,37.842
-0.306,-0.867,0.660,-5.554,6.104,38.879
-0.302,-0.846,0.635,-4.578,6.592,41.016
-0.297,-0.828,0.658,-3.479,5.554,42.908
-0.295,-0.799,0.675,-2.014,5.188,44.373
-0.291,-0.807,0.681,-1.343,5.615,44.800
-0.283,-0.848,0.698,-0.977,6.104,44.250
-0.272,-0.869,0.746,-1.587,6.287,45.044
-0.267,-0.875,0.741,-2.075,8.789,46.509
-0.268,-0.881,0.703,-1.282,12.085,48.096
-0.266,-0.895,0.708,-0.305,13.123,49.255
-0.267,-0.884,0.722,1.038,14.526,50.964
-0.263,-0.893,0.715,2.930,16.724,51.941
-0.255,-0.929,0.721,4.944,18.860,52.185
-0.251,-0.944,0.714,5.859,20.813,53.955
-0.250,-0.927,0.667,6.531,23.010,56.519
-0.253,-0.857,0.643,4.639,22.949,59.387
-0.251,-0.864,0.657,0.977,20.752,58.716
-0.251,-0.869,0.776,-7.080,17.578,58.472
-0.247,-0.930,0.870,-15.625,17.883,57.617
-0.248,-0.939,0.888,-23.132,22.888,59.021
-0.233,-0.914,0.855,-21.729,29.358,61.523
-0.212,-0.988,0.883,-18.799,32.898,59.814
-0.208,-0.964,0.889,-16.724,36.560,62.988
-0.193,-0.881,0.796,-10.925,41.687,67.017
-0.170,-0.820,0.731,-6.470,43.945,67.444
-0.642,2.701,0.217,12.268,-0.183,30.640
-0.780,3.103,0.116,41.260,6.348,5.981
-0.960,3.356,-0.113,66.162,13.733,-30.457
-1.127,3.616,-0.240,76.599,11.780,-76.782
-1.270,3.667,-0.378,66.040,1.648,-133.240
-1.409,3.278,-0.403,36.926,-15.564,-202.332
-1.498,2.708,-0.211,2.563,-41.138,-265.503
-1.515,1.799,0.009,-21.667,-60.486,-317.871
-1.450,0.836,0.352,-12.207,-71.594,-349.121
-1.354,-0.052,0.674,40.100,-69.580,-357.178
-1.247,-0.554,0.925,109.741,-52.490,-345.276
-1.166,-0.670,0.893,175.659,-27.527,-330.139
-1.095,-0.852,0.626,206.970,-5.188,-337.280
-1.083,-0.951,0.045,173.523,0.366,-359.192
-1.201,-1.613,-0.801,64.209,-17.639,-392.700
-1.210,-3.223,-0.759,-79.224,-87.280,-422.363
-1.084,-4.000,0.809,-183.289,-190.430,-398.987
-0.804,-4.000,2.905,-180.725,-249.207,-319.214
-0.513,-4.000,4.000,-103.943,-216.187,-234.741
-0.335,-3.966,3.788,11.536,-111.877,-148.376
-0.191,-2.705,2.576,101.990,-11.353,-82.336
-0.220,-1.747,1.382,133.362,39.734,-59.082
-0.211,-1.116,0.726,110.229,48.889,-60.364
-0.244,-0.731,0.805,63.843,24.902,-74.463
-0.270,-0.942,0.811,32.593,14.221,-100.769
-0.265,-1.421,0.830,18.188,5.981,-119.507
-0.257,-1.854,0.740,6.409,0.122,-119.446
-0.217,-2.064,0.901,3.418,-10.864,-102.173
-0.193,-2.094,1.103,8.118,-16.479,-77.698
-0.171,-1.997,1.201,23.376,-11.169,-52.185
-0.168,-1.703,1.186,39.917,-0.488,-29.114
-0.173,-1.419,1.122,46.875,10.315,-13.245
-0.188,-1.160,1.021,44.495,19.897,-4.639
-0.204,-0.969,0.970,45.044,26.611,-2.563
-0.198,-0.868,0.843,45.471,31.982,-4.578
-0.197,-0.795,0.685,34.424,35.278,-7.935
-0.183,-0.795,0.653,22.766,30.884,-11.353
-0.165,-0.961,0.652,15.930,25.940,-15.259
-0.148,-1.008,0.661,15.625,22.827,-11.902
-0.138,-0.985,0.651,18.860,21.118,-4.883
-0.133,-0.917,0.632,22.156,20.386,0.061
-0.126,-0.843,0.629,23.193,19.165,4.333
-0.134,-0.737,0.648,19.409,17.700,7.751
-0.138,-0.611,0.617,17.578,18.005,8.911
-0.144,-0.556,0.533,14.221,17.944,5.676
-0.147,-0.505,0.531,6.287,13.794,1.343
-0.144,-0.510,0.524,-2.441,8.423,-3.601
-0.146,-0.540,0.540,-10.010,4.028,-8.850
-0.132,-0.645,0.626,-12.756,-0.916,-13.367
-0.124,-0.763,0.654,-8.423,-2.075,-15.259
-0.117,-0.823,0.682,-5.798,-1.282,-12.146
-0.126,-0.815,0.706,-2.014,-0.366,-7.324
-0.134,-0.758,0.693,1.099,1.770,-2.991
-0.142,-0.718,0.649,3.784,3.174,-1.648
-0.141,-0.643,0.611,0.977,2.380,-0.916
-0.144,-0.621,0.570,-7.385,-0.549,-2.197
-0.138,-0.598,0.595,-18.860,-4.822,-3.723
-0.133,-0.648,0.641,-29.480,-9.094,-6.104
-0.124,-0.733,0.740,-31.982,-11.536,-6.653
-0.118,-0.788,0.801,-23.743,-9.827,-3.723
-0.133,-0.758,0.809,-9.399,-4.883,1.953
-0.150,-0.651,0.800,2.441,-1.465,8.118
-0.169,-0.574,0.742,8.057,2.197,10.559
-0.182,-0.516,0.719,7.690,2.563,9.766
-0.184,-0.536,0.709,5.127,1.038,6.775
-0.183,-0.575,0.741,1.404,-1.099,3.845
-0.180,-0.594,0.802,-1.282,-2.869,2.563
-0.181,-0.620,0.802,-1.038,-1.892,1.526
-0.175,-0.663,0.823,-0.793,-0.916,1.099
-0.168,-0.690,0.868,1.831,-0.183,1.770
-0.167,-0.676,0.866,4.333,2.930,3.479
-0.169,-0.671,0.830,8.057,6.592,4.028
-0.163,-0.689,0.791,10.498,8.972,4.089
-0.158,-0.686,0.733,11.658,10.376,4.761
-0.150,-0.674,0.732,10.925,9.338,5.676
-0.147,-0.654,0.743,10.193,8.179,6.104
-0.144,-0.657,0.710,11.536,8.484,6.287
-0.140,-0.684,0.698,10.559,7.935,5.615
-0.140,-0.678,0.684,9.277,6.531,5.981
-0.138,-0.701,0.722,6.531,4.944,5.615
-0.136,-0.712,0.775,4.944,3.418,5.615
-0.143,-0.738,0.750,4.089,5.493,6.042
-0.145,-0.748,0.735,4.822,6.836,6.897
-0.146,-0.753,0.762,7.690,6.348,8.423
-0.151,-0.728,0.777,9.949,6.531,10.376
-0.155,-0.696,0.745,9.155,7.812,11.475
-0.149,-0.732,0.751,6.104,7.568,10.254
-0.143,-0.748,0.766,5.066,6.775,9.888
-0.138,-0.752,0.717,6.287,7.874,10.803
-0.137,-0.780,0.714,5.615,7.568,10.864
-0.130,-0.787,0.769,5.493,5.432,12.451
-0.129,-0.783,0.769,6.104,6.409,14.099
-0.127,-0.771,0.734,5.127,8.179,16.174
-0.130,-0.743,0.724,4.456,8.057,17.700
-0.132,-0.727,0.705,3.235,7.751,18.616
-0.132,-0.714,0.712,2.014,7.080,18.921
-0.135,-0.684,0.711,2.319,6.409,19.531
-0.134,-0.671,0.695,0.183,6.348,19.043
-0.130,-0.679,0.718,-2.686,5.432,17.395
-0.125,-0.677,0.707,-6.165,5.249,16.541
-0.125,-0.693,0.690,-11.169,5.798,15.137
-0.119,-0.705,0.716,-13.794,4.517,14.282
-0.120,-0.724,0.684,-14.648,5.554,13.977
-0.118,-0.742,0.686,-12.512,5.737,14.282
-0.110,-0.775,0.697,-8.545,5.432,15.076
-0.109,-0.778,0.673,-4.395,6.226,17.273
-0.107,-0.755,0.658,-2.380,6.165,20.386
-0.107,-0.718,0.659,-2.808,4.761,22.766
-0.108,-0.703,0.671,-4.578,3.601,23.926
-0.103,-0.692,0.726,-4.211,1.892,24.963
-0.105,-0.683,0.753,-1.770,1.953,25.635
-0.105,-0.644,0.766,1.953,3.601,26.550
-0.103,-0.615,0.759,4.944,4.944,26.001
-0.098,-0.605,0.726,5.554,6.409,23.987
-0.099,-0.573,0.694,3.479,6.531,22.156
-0.093,-0.592,0.666,0.183,5.310,18.738
-0.083,-0.646,0.686,-2.075,2.686,14.893
-0.081,-0.669,0.718,-3.235,0.610,13.855
-0.071,-0.682,0.735,-0.244,-0.061,13.733
-0.066,-0.685,0.751,4.028,0.244,13.977
-0.723,3.596,-0.043,19.470,26.489,78.430
-0.845,3.743,-0.325,10.803,23.132,15.259
-0.976,3.583,-0.464,3.357,13.306,-48.523
-1.119,3.437,-0.575,13.672,1.404,-98.328
-1.280,3.440,-0.776,36.255,-4.761,-136.230
-1.431,3.488,-0.911,60.608,-16.479,-172.852
-1.560,3.336,-1.073,79.773,-31.311,-216.064
-1.652,2.791,-1.100,95.398,-51.758,-264.832
-1.717,2.118,-0.790,114.258,-76.599,-307.068
