aX,aY,aZ,gX,gY,gZ
0.040,-0.595,-0.666,10.254,0.427,1.282
0.042,-0.633,-0.701,8.606,1.221,-1.526
0.056,-0.669,-0.731,5.981,1.099,-2.380
0.049,-0.676,-0.726,2.258,-0.916,-2.258
0.044,-0.654,-0.723,-1.038,-2.625,-2.197
0.051,-0.703,-0.686,-4.272,-4.089,-3.357
0.061,-0.691,-0.710,-6.714,-3.906,-3.052
0.055,-0.700,-0.730,-7.019,-3.235,-2.930
0.054,-0.703,-0.741,-6.226,-3.540,-3.418
0.062,-0.746,-0.707,-4.944,-4.395,-4.211
0.061,-0.786,-0.675,-3.296,-4.272,-4.456
0.058,-0.759,-0.715,-1.526,-2.014,-2.625
0.052,-0.726,-0.768,-0.610,-0.916,-2.197
0.042,-0.729,-0.755,-1.221,-2.991,-2.563
0.069,-0.768,-0.655,-2.930,-5.554,-3.418
0.079,-0.776,-0.676,-2.625,-3.357,-3.235
0.079,-0.791,-0.741,-1.038,0.183,-3.174
0.071,-0.797,-0.760,0.549,-0.183,-3.357
0.074,-0.790,-0.734,1.404,-1.587,-2.930
0.096,-0.800,-0.657,0.366,-2.808,-2.686
0.095,-0.784,-0.713,-0.427,0.549,-1.770
0.076,-0.745,-0.781,-0.366,2.563,-0.183
0.064,-0.703,-0.780,-0.916,-0.427,0.061
0.054,-0.685,-0.749,-1.648,-3.357,-0.671
0.080,-0.714,-0.637,-3.845,-5.676,-2.197
0.077,-0.717,-0.635,-5.981,-4.272,-2.136
0.066,-0.696,-0.746,-6.348,-0.122,-1.709
0.063,-0.719,-0.751,-6.775,-1.709,-2.930
0.057,-0.746,-0.762,-5.981,-3.235,-4.395
0.074,-0.794,-0.685,-4.456,-4.822,-5.432
0.095,-0.824,-0.603,-3.479,-4.883,-4.761
0.078,-0.796,-0.696,-2.014,0.183,-2.319
0.067,-0.802,-0.757,-1.343,2.319,-1.160
0.074,-0.835,-0.757,-1.038,-0.122,0.000
0.087,-0.846,-0.685,-0.488,-2.502,1.953
0.074,-0.787,-0.624,-0.793,-2.747,5.371
0.049,-0.722,-0.661,-1.343,0.488,7.874
0.044,-0.674,-0.746,-1.465,3.601,7.812
0.050,-0.685,-0.770,-1.221,2.380,5.493
0.050,-0.721,-0.663,-1.282,-2.197,2.319
0.054,-0.719,-0.629,-0.427,-1.648,1.953
0.050,-0.697,-0.720,0.061,2.625,2.075
0.044,-0.715,-0.750,-0.122,2.258,0.244
0.046,-0.726,-0.729,-0.061,-0.488,-0.732
0.051,-0.737,-0.684,-0.122,-2.258,-1.099
0.066,-0.770,-0.619,-1.404,-2.502,-1.038
0.063,-0.767,-0.675,-1.831,1.038,0.854
0.051,-0.730,-0.753,-0.610,4.578,2.930
0.053,-0.742,-0.729,-0.427,2.197,2.869
0.062,-0.748,-0.651,-0.916,-0.122,2.686
0.059,-0.725,-0.645,-0.977,1.709,4.211
0.049,-0.693,-0.741,-0.244,5.737,4.883
0.049,-0.714,-0.768,-0.183,5.066,3.235
0.057,-0.719,-0.702,-0.488,1.526,2.075
0.065,-0.726,-0.653,-1.099,1.099,1.343
0.053,-0.721,-0.712,-1.770,4.211,1.282
0.057,-0.719,-0.761,-2.075,5.066,1.099
0.063,-0.742,-0.762,-1.770,2.869,0.061
0.063,-0.751,-0.713,-1.282,0.427,0.244
0.061,-0.742,-0.704,-0.793,0.793,0.854
0.064,-0.743,-0.716,0.183,2.136,0.916
0.069,-0.757,-0.714,0.061,1.892,0.488
0.081,-0.765,-0.717,-0.061,1.648,0.977
0.081,-0.742,-0.698,0.366,1.343,2.625
0.072,-0.719,-0.706,0.732,1.648,3.662
0.065,-0.695,-0.716,0.732,2.014,3.784
-0.621,3.006,0.722,-29.297,59.998,-44.617
-0.820,3.317,0.897,-36.316,68.176,-83.679
-1.073,3.492,0.957,-39.856,81.543,-134.155
-1.276,3.408,0.911,-35.095,104.187,-196.777
-1.419,2.964,0.814,-20.996,130.859,-266.479
-1.514,2.368,0.735,-1.770,156.677,-330.933
-1.576,1.531,0.347,20.874,188.721,-385.986
-1.615,0.747,0.042,47.485,216.248,-422.607
-1.592,-0.122,-0.360,65.125,241.333,-442.627
-1.426,-0.892,-0.986,46.814,254.150,-443.237
-1.215,-1.461,-1.636,-18.433,236.633,-419.434
-0.892,-2.221,-1.985,-116.516,180.664,-385.986
-0.542,-2.811,-1.540,-191.223,105.042,-348.206
-0.421,-2.825,-1.167,-197.205,64.941,-304.321
-0.414,-2.504,-1.054,-141.602,75.256,-276.794
-0.510,-2.277,-1.181,-67.383,108.215,-275.879
-0.505,-2.385,-1.541,2.258,144.531,-292.908
-0.549,-2.823,-1.487,63.477,166.626,-310.242
-0.269,-3.588,-2.092,85.205,185.486,-307.983
-0.000,-4.000,-2.952,28.992,179.443,-266.052
0.206,-4.000,-2.968,-88.867,95.154,-175.964
0.289,-3.652,-2.318,-182.739,3.418,-79.773
0.282,-2.914,-1.765,-205.872,-35.583,-19.470
0.219,-2.023,-1.366,-168.030,-32.959,10.376
0.067,-1.406,-1.116,-99.976,-10.254,7.568
0.050,-0.961,-1.136,-28.381,21.545,-12.451
0.060,-0.960,-1.180,16.663,41.809,-43.518
0.102,-1.148,-1.159,32.166,44.739,-68.909
