aX,aY,aZ,gX,gY,gZ
0.135,-0.063,0.781,-38.757,38.513,94.849
0.046,-0.071,0.912,-109.924,47.424,76.477
0.203,-0.327,1.076,-198.181,61.707,51.941
0.165,-0.511,1.262,-240.173,82.458,43.945
-0.030,-0.445,1.263,-238.342,110.840,52.917
0.113,-0.344,0.980,-215.942,143.372,64.880
0.099,-0.324,0.954,-209.900,164.734,66.528
0.127,-0.286,0.803,-208.435,186.523,68.298
0.165,-0.110,0.529,-195.496,196.350,73.669
0.150,-0.032,0.346,-167.053,179.871,72.937
0.166,0.052,0.400,-125.122,141.174,76.050
0.209,0.178,0.564,-85.388,106.812,82.886
0.224,0.300,0.631,-63.721,89.478,85.205
0.241,0.374,0.629,-48.767,80.383,81.299
0.267,0.498,0.688,-43.030,73.059,73.486
0.314,0.576,0.699,-45.654,70.862,60.852
0.345,0.611,0.684,-50.415,71.106,43.518
0.352,0.591,0.681,-60.852,71.106,26.184
0.324,0.483,0.653,-70.129,73.425,8.789
0.337,0.436,0.607,-75.317,76.172,1.892
0.340,0.377,0.560,-69.885,73.547,0.916
0.347,0.328,0.538,-51.880,67.322,4.395
0.334,0.303,0.504,-36.499,61.462,10.803
0.328,0.315,0.449,-31.189,55.603,17.944
0.341,0.410,0.434,-24.048,47.058,25.085
0.365,0.436,0.510,-15.137,35.583,27.039
0.370,0.409,0.609,-12.634,29.175,25.879
0.366,0.395,0.598,-13.672,31.921,28.442
0.360,0.458,0.543,-10.986,35.339,34.973
0.365,0.537,0.480,-5.005,34.485,36.621
0.389,0.529,0.451,9.705,29.419,30.518
0.392,0.456,0.484,18.738,23.315,22.583
0.385,0.387,0.438,22.583,22.705,19.470
0.374,0.332,0.363,25.818,23.071,20.386
0.377,0.279,0.330,22.156,19.409,23.865
0.379,0.302,0.346,17.944,13.550,30.212
0.397,0.366,0.368,19.958,7.874,37.292
0.402,0.377,0.388,23.071,3.052,40.955
0.392,0.457,0.368,22.461,-0.061,44.922
0.417,0.549,0.353,33.264,-4.028,48.401
0.443,0.650,0.418,35.767,-10.254,46.875
0.475,0.717,0.471,26.062,-14.404,41.321
0.495,0.710,0.523,23.193,-17.151,33.813
0.474,0.747,0.496,19.043,-16.907,26.917
0.496,0.635,0.595,10.437,-17.883,17.517
0.501,0.577,0.539,19.653,-17.639,9.277
0.496,0.615,0.555,35.278,-18.433,7.935
0.507,0.581,0.520,38.879,-19.287,3.052
0.500,0.498,0.494,36.743,-20.935,-2.625
0.481,0.439,0.503,32.898,-24.536,-5.676
0.469,0.417,0.505,29.358,-27.649,-7.019
0.472,0.411,0.533,26.733,-31.555,-8.728
0.484,0.365,0.585,29.053,-36.316,-11.169
0.495,0.318,0.646,27.893,-39.429,-13.550
0.532,0.318,0.705,22.400,-40.894,-14.771
0.520,0.329,0.755,20.386,-41.504,-16.724
0.538,0.256,0.795,17.456,-41.687,-20.996
0.534,0.182,0.856,14.771,-42.297,-23.071
0.523,0.150,0.844,11.230,-38.208,-20.996
0.517,0.066,0.806,10.864,-35.095,-19.836
0.505,-0.014,0.843,8.362,-34.607,-17.456
0.496,-0.002,0.863,1.282,-32.410,-10.559
0.502,0.040,0.859,-9.155,-27.100,-4.395
0.474,-0.070,0.806,-11.414,-22.949,-2.563
0.434,-0.013,0.704,-8.118,-16.907,5.005
0.406,0.024,0.621,-9.155,-13.916,11.719
0.380,0.005,0.581,-12.146,-14.465,14.282
0.372,-0.011,0.541,-17.273,-15.808,17.395
0.373,0.035,0.528,-18.372,-19.409,23.254
0.378,0.086,0.553,-13.855,-25.635,28.503
0.385,0.120,0.586,-7.141,-31.616,32.227
0.407,0.184,0.604,-2.930,-35.645,36.560
0.401,0.259,0.646,-1.465,-39.368,39.490
0.400,0.306,0.681,0.610,-42.236,40.100
-0.794,2.491,-2.555,-77.148,-47.241,120.178
-0.859,3.128,-1.996,-98.083,-134.338,93.933
-0.864,3.386,-0.982,-101.929,-215.576,43.457
-0.884,3.394,-0.204,-69.275,-256.836,-18.005
-1.055,3.312,-0.034,-26.306,-255.920,-78.369
-1.268,3.395,-0.205,3.723,-237.488,-128.052
-1.466,3.616,-0.281,17.822,-231.628,-172.058
-1.699,3.655,-0.174,29.968,-241.028,-223.877
-1.953,3.458,0.102,32.654,-254.517,-279.175
-2.153,3.142,0.465,21.729,-261.108,-327.881
-2.303,2.747,0.818,2.747,-259.277,-368.347
-2.511,2.235,1.061,-20.020,-252.563,-401.978
-2.637,1.872,1.314,-25.879,-248.962,-422.913
-2.723,1.535,1.734,-20.813,-252.319,-444.214
-2.841,1.043,2.200,-9.460,-251.587,-469.788
-2.953,0.095,2.617,-6.104,-241.150,-497.864
-2.802,-1.485,2.970,-23.437,-223.206,-513.550
-2.326,-3.226,3.259,-69.336,-195.679,-490.601
-1.804,-4.000,3.609,-127.808,-156.982,-400.635
-1.498,-3.153,3.676,-143.311,-105.286,-258.972
-1.282,-1.967,3.237,-116.089,-58.044,-151.794
-1.119,-1.483,2.885,-65.247,-44.312,-118.896
-0.923,-1.251,3.020,-1.099,-59.204,-120.178
-0.773,-1.155,3.174,62.622,-64.880,-129.944
-0.785,-1.194,2.653,108.032,-37.659,-140.259
-0.740,-1.135,1.783,116.516,-2.686,-138.733
-0.617,-0.810,1.376,86.792,0.549,-130.615
-0.484,-0.939,1.540,38.940,-17.517,-133.057
-0.372,-1.058,1.880,6.348,-26.855,-129.211
-0.343,-1.102,1.916,-23.193,-10.559,-112.244
-0.341,-1.184,1.694,-37.781,15.930,-95.764
-0.361,-1.259,1.436,-39.795,33.752,-81.360
-0.359,-1.311,1.186,-26.306,41.809,-65.613
-0.336,-1.283,0.994,-9.705,42.664,-46.692
-0.315,-1.129,0.840,1.282,39.490,-23.682
-0.279,-0.933,0.702,6.470,33.997,-1.831
-0.233,-0.728,0.715,3.540,24.292,16.968
-0.189,-0.345,0.762,-3.845,16.602,35.767
-0.126,0.025,0.777,-8.057,14.771,48.340
-0.068,0.288,0.828,-17.517,13.916,51.392
-0.031,0.468,0.867,-23.315,14.282,49.194
-0.001,0.531,0.834,-23.071,17.395,43.457
0.010,0.512,0.771,-17.639,19.897,36.499
0.004,0.491,0.682,-11.047,21.606,31.616
0.005,0.452,0.619,-1.892,20.874,27.649
0.013,0.460,0.588,8.057,17.212,25.330
0.008,0.499,0.575,17.578,13.489,24.414
0.004,0.528,0.591,20.813,9.888,23.132
0.009,0.547,0.608,21.240,6.836,21.362
0.009,0.555,0.640,23.010,2.930,18.921
0.016,0.514,0.735,21.362,-1.160,16.663
0.011,0.505,0.798,15.930,-2.014,16.052
-0.000,0.540,0.815,13.611,-0.671,16.479
