aX,aY,aZ,gX,gY,gZ
0.513,-0.723,0.578,-14.587,17.090,-39.490
0.501,-0.717,0.528,-10.315,20.447,-33.142
0.458,-0.694,0.439,-9.155,23.743,-24.536
0.410,-0.625,0.356,-13.794,24.475,-15.137
0.395,-0.562,0.290,-23.132,22.156,-9.338
0.404,-0.538,0.254,-33.997,18.677,-7.507
0.446,-0.503,0.283,-45.898,15.625,-6.653
0.503,-0.494,0.309,-54.382,14.648,-7.202
0.551,-0.453,0.334,-57.007,15.015,-8.972
0.556,-0.372,0.344,-59.631,17.029,-11.658
0.554,-0.357,0.353,-60.974,20.264,-17.944
0.547,-0.376,0.364,-61.340,23.499,-25.513
0.539,-0.360,0.343,-62.561,27.527,-31.860
0.533,-0.349,0.268,-64.941,31.311,-38.635
0.525,-0.338,0.178,-68.176,33.081,-45.898
0.561,-0.343,0.196,-72.815,31.677,-54.626
0.599,-0.360,0.266,-71.716,30.945,-65.369
0.589,-0.391,0.299,-60.181,33.875,-76.721
0.553,-0.456,0.331,-46.021,39.001,-88.928
0.507,-0.489,0.367,-37.231,45.715,-99.609
0.433,-0.513,0.343,-31.799,54.016,-107.422
0.355,-0.568,0.252,-26.001,62.439,-112.610
0.289,-0.619,0.123,-25.818,67.810,-114.502
0.255,-0.710,-0.009,-32.715,69.214,-113.586
0.257,-0.842,-0.084,-44.556,67.261,-110.291
0.289,-0.908,-0.066,-61.890,62.439,-104.553
0.312,-0.897,-0.044,-73.792,58.594,-99.731
0.332,-0.937,-0.056,-77.698,56.396,-100.159
0.346,-0.972,-0.009,-79.285,53.040,-103.271
0.338,-0.930,0.053,-81.970,49.438,-104.919
0.299,-0.893,0.097,-86.121,47.424,-108.215
0.262,-0.909,0.057,-84.045,46.204,-110.962
0.268,-0.880,0.026,-83.557,43.030,-109.436
0.303,-0.845,0.040,-87.097,36.804,-107.544
0.311,-0.948,0.091,-85.754,28.809,-111.328
0.345,-1.080,0.156,-89.417,22.156,-115.479
0.402,-1.083,0.375,-97.900,18.066,-110.168
0.365,-0.952,0.492,-94.482,22.217,-103.088
0.213,-0.950,0.380,-63.721,28.809,-99.365
0.172,-1.111,0.122,-61.096,53.040,-104.797
0.043,-1.048,-0.257,-98.450,52.856,-98.206
0.081,-0.921,-0.113,-132.141,5.371,-75.806
0.282,-0.911,0.341,-147.766,-41.321,-65.918
0.357,-0.947,0.593,-126.343,-45.166,-77.759
0.353,-0.903,0.516,-84.961,-11.169,-99.548
0.317,-0.910,0.383,-45.105,16.968,-123.718
0.308,-0.988,0.407,-19.287,17.822,-141.418
0.295,-1.043,0.530,-7.812,11.963,-152.893
0.221,-1.036,0.600,2.808,16.052,-156.860
0.121,-1.006,0.513,14.893,31.616,-156.860
0.039,-0.938,0.400,8.789,48.462,-155.579
0.525,-2.733,0.803,-71.411,-3.906,-86.731
0.516,-3.214,0.820,-82.642,3.296,-68.420
0.363,-3.758,0.943,-96.802,15.198,-57.373
0.119,-4.000,0.859,-89.783,38.757,-38.635
-0.248,-4.000,0.493,-61.401,66.711,-10.620
-0.664,-4.000,0.095,-34.424,86.426,23.254
-1.132,-4.000,-0.296,-5.066,93.201,64.880
-1.585,-4.000,-0.542,34.607,85.510,113.525
-1.965,-4.000,-0.450,68.970,63.171,162.354
-2.276,-4.000,-0.148,95.398,36.133,206.116
-2.536,-4.000,0.148,119.019,14.526,243.774
-2.800,-4.000,0.413,137.756,1.038,282.471
-3.054,-3.622,0.607,148.376,-4.517,321.289
-3.269,-3.171,0.668,164.856,-6.958,353.027
-3.309,-2.819,0.675,184.998,-12.695,377.258
-3.565,-2.250,0.783,201.355,-29.236,403.687
-3.595,-1.873,0.839,219.238,-43.640,413.696
-3.562,-1.446,1.062,234.863,-63.354,417.786
-3.428,-0.991,1.395,240.112,-85.388,416.687
-3.178,-0.619,1.670,243.286,-101.929,404.968
-2.943,-0.374,1.864,253.784,-115.234,384.216
-2.758,-0.188,2.023,268.188,-124.146,363.098
-2.569,0.009,2.156,274.780,-128.784,347.412
-2.437,0.458,2.227,270.020,-130.554,340.759
-2.083,0.836,2.535,237.671,-137.085,340.576
-1.572,1.197,2.987,176.025,-140.808,336.121
-1.059,1.573,3.200,125.488,-126.099,317.871
-0.645,1.881,3.092,115.723,-92.834,280.701
-0.467,2.033,2.791,132.629,-55.908,231.079
-0.446,2.001,2.351,158.020,-28.442,178.711
-0.406,1.782,1.974,168.335,-15.137,135.864
-0.340,1.472,1.698,159.363,-14.587,109.009
-0.209,1.224,1.601,140.747,-19.409,101.257
-0.033,1.229,1.581,115.662,-23.987,107.666
0.095,1.373,1.548,97.595,-21.667,112.793
0.181,1.410,1.534,93.811,-13.733,105.530
0.180,1.424,1.457,98.083,-2.197,91.125
0.108,1.388,1.208,112.061,11.475,75.989
0.048,1.383,0.937,115.662,18.616,61.279
0.043,1.365,0.707,98.999,15.747,48.401
0.131,1.208,0.623,63.782,6.348,36.926
0.267,1.034,0.687,20.264,-2.380,28.564
0.395,0.796,0.681,-2.075,-3.052,20.142
0.445,0.539,0.687,-0.061,-3.052,12.146
0.461,0.339,0.649,8.545,-1.404,4.822
0.476,0.179,0.705,14.832,-1.587,-2.625
0.501,0.013,0.771,27.954,-0.732,-10.132
0.543,-0.144,0.814,39.185,2.991,-16.479
0.598,-0.234,0.844,44.006,6.104,-20.813
0.628,-0.306,0.813,49.927,8.484,-23.743
0.642,-0.380,0.772,50.293,9.094,-24.536
0.661,-0.453,0.704,42.603,8.789,-23.254
0.676,-0.528,0.639,31.921,7.385,-17.212
0.691,-0.544,0.638,16.174,4.822,-5.615
0.693,-0.511,0.644,0.488,3.845,8.728
0.688,-0.431,0.625,-10.742,4.211,23.193
0.694,-0.345,0.622,-22.522,3.967,32.654
0.707,-0.295,0.651,-33.203,3.296,35.767
0.673,-0.221,0.687,-35.217,5.066,33.142
0.663,-0.171,0.672,-27.283,12.939,21.912
0.632,-0.114,0.667,-13.306,13.550,10.925
0.582,-0.193,0.607,2.747,13.062,-5.676
0.507,-0.242,0.524,15.503,12.207,-21.057
0.458,-0.305,0.464,23.804,9.521,-31.433
0.440,-0.389,0.454,24.414,5.676,-36.438
0.470,-0.437,0.520,19.592,2.197,-35.889
0.482,-0.413,0.571,19.897,1.282,-32.532
0.455,-0.346,0.579,23.804,2.563,-29.480
0.418,-0.292,0.608,22.705,4.272,-28.198
0.374,-0.227,0.632,16.418,6.714,-29.663
0.299,-0.149,0.610,9.949,11.597,-34.424
0.251,-0.238,0.403,4.456,21.851,-47.424
0.227,-0.335,0.270,-12.390,25.024,-56.274
0.255,-0.432,0.161,-36.438,20.386,-55.481
0.299,-0.536,0.117,-60.364,15.076,-52.002
0.364,-0.663,0.193,-75.928,8.057,-46.570
